yr,area,Season,fz,pounds,effort
1971,2,1,2,305146,743.21
1971,2,1,3,169130,389.71
1971,2,2,1,4139193,3468.5
1971,2,2,2,3675799,3090.34
1971,2,2,3,9704,21.58
1971,2,3,1,1484608,2024.03
1971,2,3,2,1818898,2505.76
1971,2,3,3,323102,413.41
1971,3,1,1,3037907,5297.11
1971,3,1,2,2017147,4748.86
1971,3,1,3,1356569,2620.21
1971,3,2,1,9177059,14205.79
1971,3,2,2,5524093,6666.76
1971,3,2,3,119627,322.16
1971,3,3,1,10251375,16941.45
1971,3,3,2,2964969,4022.36
1971,3,3,3,330664,430.49
1971,4,1,1,741843,2143.82
1971,4,1,2,2047490,6517.3
1971,4,1,3,265576,787.67
1971,4,2,1,2174307,4097.33
1971,4,2,2,15188134,19784.16
1971,4,2,3,97899,329.52
1971,4,3,1,3396563,6182.58
1971,4,3,2,13116688,21287.07
1971,4,3,3,451676,766.44
1972,1,1,1,1088576,1655.76
1972,1,1,2,4232812,8149.51
1972,1,1,3,24983,49.06
1972,1,2,1,916912,1465.72
1972,1,2,2,1843165,3081
1972,1,2,3,10063,14.57
1972,1,3,1,639838,777.42
1972,1,3,2,2213811,3289.74
1972,1,3,3,4736,5.5
1972,2,1,1,362526,925.61
1972,2,1,2,248737,752.12
1972,2,1,3,177983,478.05
1972,2,2,1,2013204,2688.63
1972,2,2,2,3682771,4538.4
1972,2,2,3,26729,27.87
1972,2,3,1,584099,2358.92
1972,2,3,2,1389483,2885.22
1972,2,3,3,75333,125.43
1972,3,1,1,4539631,8754.96
1972,3,1,2,1416419,3968.12
1972,3,1,3,951348,2163.93
1972,3,2,1,7134989,13857.62
1972,3,2,2,6401492,6838.33
1972,3,2,3,490178,517.11
1972,3,3,1,9333784,20522.06
1972,3,3,2,3703240,5429.36
1972,3,3,3,1822281,2574.58
1972,4,1,1,1566908,6334.3
1972,4,1,2,1927808,6307.67
1972,4,1,3,232838,706.7
1972,4,2,1,2393587,5968.1
1972,4,2,2,20635052,23053.13
1972,4,2,3,195633,545.44
1972,4,3,1,2188802,5408.97
1972,4,3,2,12470356,21627.22
1972,4,3,3,567141,888.97
1973,1,1,1,845985,1321.24
